item_id,label,annotator_type,source
v3_s_c2c5ef14061d7ec7,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_dfdce39c105f0cfe,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_3f06e132a82bbf95,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_39c711008d09a1b6,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_cb3cef283aa63a17,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_659a3f594c2357af,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_7ae8d19e87b6d09a,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_01df005658a73d68,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_ab92814f50b1c319,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_2d68e1a6187cc9de,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_81bd0886d82b78dd,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_437a41084f3b619f,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_c3c2de56dccad40b,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_e6145b0b9091a9a9,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_62de05d53124f281,disclaimer,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_2f78478e1eb17ae9,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_12f7e137d3999c83,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_feb9e6330307197f,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_8092a04f9b23953c,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_24b3813251b4ffbc,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_8637e1ae4680427e,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_943e0a38e1d1cd2a,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_a846492fe556328f,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_52f5d56c25016ba9,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_899db41601c77692,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_cbcc350b4cc7f73d,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_86efd160457fa428,"empathy_opener,validation",ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_f897aab652a9505d,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
